Constituency,State,MP,Party,Year,,,,,,,,,,,
BULDHANA (SC),Maharashtra, WASNIK MUKUL BALKRISHNA,INC,1994,,,,,,,,,,,
CHANDRAPUR,Maharashtra, POTDUKHE SHANTARAM,INC,1994,,,,,,,,,,,
CHIMUR,Maharashtra, MUTTEMWAR VILAS BABURAO,INC,1994,,,,,,,,,,,
DAHANU (ST),Maharashtra, DAMU BARKU SHINGDA,INC,1994,,,,,,,,,,,
DHULE,Maharashtra, (ST) CHAURE BAPU HARI,INC,1994,,,,,,,,,,,
ERANDOL,Maharashtra, PATIL VIJAY NAVAL,INC,1994,,,,,,,,,,,
HINGOLI,Maharashtra, GUNDEWAR VILASRAO NAGNATHRAO,SHS,1994,,,,,,,,,,,
ICHALKARANJI,Maharashtra, MANE BALASO ALIAS RAJARAM SHANKARRAO,INC,1994,,,,,,,,,,,
JALGAON,Maharashtra, GUNAVANT RAMBHAU SARODA,BJP,1994,,,,,,,,,,,
JALNA,Maharashtra, ANKUSHRAO TOPE,INC,1994,,,,,,,,,,,
KARAD,Maharashtra, CHAVAN PRITHVIRAJ DAJISHAHEB,INC,1994,,,,,,,,,,,
KHED,Maharashtra, NAVALE VIDURA VITHOBA,INC,1994,,,,,,,,,,,
KOLABA,Maharashtra, A.R. ANTULAY,INC,1994,,,,,,,,,,,
KOLHAPUR ,Maharashtra,GAIKWAD UDAYSINGRAO NANASAHEB ,INC,1994,,,,,,,,,,,
KOPARGAON,Maharashtra, KALE SHANKARRAO DEORAM,INC,1994,,,,,,,,,,,
LATUR ,Maharashtra,PATIL SHIVRAJ VISHWANATH ,INC,1994,,,,,,,,,,,
MALEGAON (ST),Maharashtra, KAHANDOLE ZAMRU MANGLU,INC,1994,,,,,,,,,,,
NAGPUR,Maharashtra, MEGHE DATTAJI RAGHOBAJI,INC,1994,,,,,,,,,,,
NANDED,Maharashtra, SURYAKANTS PATIL (W),INC,1994,,,,,,,,,,,
NANDURBAR (ST),Maharashtra, GAVIT MANIKRAO HODALYA,INC,1994,,,,,,,,,,,
NASHIK,Maharashtra, PAWAR VASANT NIWRUTTI,INC,1994,,,,,,,,,,,
OSMANABAD (SC),Maharashtra, KAMBLE ARVIND TULSHIRAM,INC,1994,,,,,,,,,,,
PANDHARPUR (SC),Maharashtra, THORAT SANDIPAN BHAGWAN,INC,1994,,,,,,,,,,,
PARBHANI,Maharashtra, DESHMUKH ASHOKRAO ANANDRAO,SHS,1994,,,,,,,,,,,
PUNE,Maharashtra, ANNA JOSHI,BJP,1994,,,,,,,,,,,
RAJAPUR ,Maharashtra,SUDHIR SAWANT ,INC,1994,,,,,,,,,,,
RAMTEK,Maharashtra, BHONSLE TEJSINGHARAO LAXMANRAO,INC,1994,,,,,,,,,,,
RATNAGIRI,Maharashtra, GOVINDRAM NIKAM,INC,1994,,,,,,,,,,,
SANGLI,Maharashtra, PATIL PRAKASHBAPU VASANTRAO,INC,1994,,,,,,,,,,,
SATARA,Maharashtra, BHOSALE PRATAPRAO BABURAO,INC,1994,,,,,,,,,,,
SHOLAPUR,Maharashtra, SADUL DHARMANNA MONDAYYA,INC,1994,,,,,,,,,,,
THANE,Maharashtra, KAPSE RAMCHANDRA GANESH,BJP,1994,,,,,,,,,,,
WARDHA,Maharashtra, GHANGARE RAMCHANDRA MAROTRAO,CPM,1994,,,,,,,,,,,
WASHIM,Maharashtra, ANANTRAO VITTHALRAO DESHMUKH,INC,1994,,,,,,,,,,,
YAVATMAL,Maharashtra, UTTAMRAO DEORAO PATIL,INC,1994,,,,,,,,,,,
ASKA,Orissa, RAMACHANDRA RATH,INC,1994,,,,,,,,,,,
BALASORE,Orissa, KARTIKESWAR PATRA,INC,1994,,,,,,,,,,,
BERHAMPUR,Orissa, GOPINATH GAJAPATHI NARYANDEO,INC,1994,,,,,,,,,,,
BHADRAK (SC),Orissa, ARJUN CHARAN SETHI,JD,1994,,,,,,,,,,,
BHUBANESWAR,Orissa, SHIVAJI PATNAIK,CPM,1994,,,,,,,,,,,
BOLANGIR,Orissa, SARAT CHANDRA PATTANAYAK,INC,1994,,,,,,,,,,,
CUTTACK,Orissa, SRIKANTA JENA,JD,1994,,,,,,,,,,,
DEOGARH,Orissa, SRIBALLAV PANIGRAHI,INC,1994,,,,,,,,,,,
DHENKANAL ,Orissa,RAJA KAMAKHYA PRASAD SINGHDEO MAHINDR BAHADUR ,INC,1994,,,,,,,,,,,
JAGATSINGHPUR,Orissa, LOKNATH CHOUDHURY,CPI,1994,,,,,,,,,,,
JAJPUR (SC),Orissa, ANADI CHARAN DAS,JD,1994,,,,,,,,,,,
KALAHANDI,Orissa, SUBASH CHANDRA NAYAK,INC,1994,,,,,,,,,,,
KENDRAPARA,Orissa, RABI RAY,JD,1994,,,,,,,,,,,
KEONJHAR (ST) ,Orissa,GOVINDA CHANDRA MUNDA ,JD,1994,,,,,,,,,,,
KORAPUT (ST),Orissa, GIRIDHAR GOMANGO,INC,1994,,,,,,,,,,,
MAYURBHANJ (ST) ,Orissa,KUMARI SUSHILA TIRIYA,INC,1994,,,,,,,,,,,
NOWRANGPUR (ST),Orissa, KHAGAPATI PRADHANI,INC,1994,,,,,,,,,,,
PHULBANI (SC),Orissa, MRUTYUNJAYA NAYAK,INC,1994,,,,,,,,,,,
PURI,Orissa, BRAJA KISHORE TRIPATHY,JD,1994,,,,,,,,,,,
SAMBALPUR,Orissa, KRUPASINDHU BHOI,INC,1994,,,,,,,,,,,
SUNDARGARH (ST) ,Orissa,FRIDA TOPNO (W) ,INC,1994,,,,,,,,,,,
AMRITSAR,Punjab, RAGHUNANDAN LAL BHATIA,INC,1994,,,,,,,,,,,
BHATINDA (SC),Punjab, KEWAL SINGH,INC,1994,,,,,,,,,,,
FARIDKOT,Punjab, JAGMEET SINGH,INC,1994,,,,,,,,,,,
FEROZEPUR,Punjab, MOHAN SINGH S/O KANSHA SINGH,BSP,1994,,,,,,,,,,,
GURDASPUR,Punjab,SUKHBUNS KAUR (W),INC,1994,,,,,,,,,,,
HOSHIARPUR,Punjab, KAMAL CHAUDHARY,INC,1994,,,,,,,,,,,
JULLUNDUR,Punjab,UMRAO SINGH,INC,1994,,,,,,,,,,,
LUDHIANA,Punjab, GURCHARAN SINGH GALIB,INC,1994,,,,,,,,,,,
PATIALA,Punjab, SANT RAM SINGLA,INC,1994,,,,,,,,,,,
PHILLAUR (SC),Punjab, SANTOSH CHAUDHARY (W),INC,1994,,,,,,,,,,,
ROPAR,Punjab, (SC) HARCHAND SINGH,INC,1994,,,,,,,,,,,
SANGRUR,Punjab, GURCHARAN SINGH DADAHOOR,INC,1994,,,,,,,,,,,
TARN TARAN,Punjab, SURINDER SINGH KAIRON,INC,1994,,,,,,,,,,,
AJMER,Rajasthan, RASA SINGH RAWAT,BJP,1994,,,,,,,,,,,
ALWAR,Rajasthan, MAHENDRA KUMARI (W),BJP,1994,,,,,,,,,,,
BANSWARA (ST),Rajasthan, PRABHULAL RAWAT,INC,1994,,,,,,,,,,,
BARMER,Rajasthan, RAM NIWAS MIRDHA,INC,1994,,,,,,,,,,,
BAYANA (SC),Rajasthan, GANGARAM KOLI,BJP,1994,,,,,,,,,,,
BHARATPUR,Rajasthan, KRASHENDER KAUR (DEEPA) (W),BJP,1994,,,,,,,,,,,
BHILWARA,Rajasthan, SHIV CHARAN MATHUR,INC,1994,,,,,,,,,,,
BIKANER,Rajasthan, MANPHOOL,INC,1994,,,,,,,,,,,
CHITTORGARH,Rajasthan, JASWANT SINGH,BJP,1994,,,,,,,,,,,
CHURU,Rajasthan, RAM SINGH,BJP,1994,,,,,,,,,,,
DAUSA,Rajasthan, RAJESH PILOT,INC,1994,,,,,,,,,,,
GANGANAGAR (SC) ,Rajasthan,BIRBAL RAM ,INC,1994,,,,,,,,,,,
JAIPUR,Rajasthan, GIRDHARI LAL BHARGAVA,BJP,1994,,,,,,,,,,,
JALORE (SC),Rajasthan, BUTA SINGH,INC,1994,,,,,,,,,,,
JHALAWAR,Rajasthan, VASUNDHARA RAJE (W),BJP,1994,,,,,,,,,,,
JHUNJHUNU,Rajasthan, AYUB KHAN,INC,1994,,,,,,,,,,,
JODHPUR,Rajasthan, ASHOK GEHLOT,INC,1994,,,,,,,,,,,
KOTA ,Rajasthan,DAU DAYAL JOSHI ,BJP,1994,,,,,,,,,,,
NAGAUR ,Rajasthan,NATHURAM MIRDHA ,INC,1994,,,,,,,,,,,
PALI,Rajasthan, GUMANMAL LODHA,BJP,1994,,,,,,,,,,,
SALUMBER (ST),Rajasthan, BHERU LAL MEENA,INC,1994,,,,,,,,,,,
SAWAI MADHOPUR (ST) ,Rajasthan,KUNJILAL ,BJP,1994,,,,,,,,,,,
SIKAR,Rajasthan, BALRAM,INC,1994,,,,,,,,,,,
TONK (SC),Rajasthan, RAM NARAIN BERWA,BJP,1994,,,,,,,,,,,
UDAIPUR,Rajasthan, GIRJA VYAS (W),INC,1994,,,,,,,,,,,
ARAKKONAM,Tamil Nadu, JEEVARATHINAM R.,INC,1994,,,,,,,,,,,
CHENGALPATTU,Tamil Nadu, RAJEMDRA KUMAR S.S.R.,ADK,1994,,,,,,,,,,,
CHIDAMBARAM (SC),Tamil Nadu, VALLALPERUMAN P.,INC,1994,,,,,,,,,,,
COIMBATORE,Tamil Nadu, KUPPUSWAMY C.K.,INC,1994,,,,,,,,,,,
CUDDALORE,Tamil Nadu, KALIAPERUMAL P.P.,INC,1994,,,,,,,,,,,
DHARMAPURI,Tamil Nadu, THANGKA BALU K.V.,INC,1994,,,,,,,,,,,
DINDIGUL,Tamil Nadu, C. SRINIVASAN,ADK,1994,,,,,,,,,,,
GOBICHETTIPALAYAM,Tamil Nadu, NARAYANAN P.G.,ADK,1994,,,,,,,,,,,
KARUR,Tamil Nadu, MURUGESAN N.,ADK,1994,,,,,,,,,,,
KRISHNAGIRI,Tamil Nadu, RAMA MURTHY K.,INC,1994,,,,,,,,,,,
MADRAS CENTRAL,Tamil Nadu, ANBARASU ERA,INC,1994,,,,,,,,,,,
MADRAS NORTH  ,Tamil Nadu,D. PANDIAN,INC,1994,,,,,,,,,,,
MADRAS SOUTH,Tamil Nadu, R. SRIDHARAN,ADK,1994,,,,,,,,,,,
MADURAI,Tamil Nadu, RAM BABU A.G.S.,INC,1994,,,,,,,,,,,
MAYILADUTURAI,Tamil Nadu, MANI SHANKAR AIYAR,INC,1994,,,,,,,,,,,
NAGAPATTINAM (SC) ,Tamil Nadu,PADMA (W),INC,1994,,,,,,,,,,,
NAGERCOIL ,Tamil Nadu,N. DENNIS,INC,1994,,,,,,,,,,,
NILGIRIS,Tamil Nadu, PRABHU R.,INC,1994,,,,,,,,,,,
PALANI,Tamil Nadu,PALANIYAPPA GOUNDER KUMARASAMY,ADK,1994,,,,,,,,,,,
PERAMBALUR (SC),Tamil Nadu, ASOKRAJ A.,ADK,1994,,,,,,,,,,,
PERIYAKULAM,Tamil Nadu, R. RAMASAMY,ADK,1994,,,,,,,,,,,
POLLACHI (SC),Tamil Nadu, RAJARAVIVARMA B.,ADK,1994,,,,,,,,,,,
PUDUKKOTTAI,Tamil Nadu, SUNDARARAJ N.,INC,1994,,,,,,,,,,,
RAMANATHAPURAM,Tamil Nadu, RAJESHWARAN V.,INC,1994,,,,,,,,,,,
RASIPURAM (SC),Tamil Nadu, DEVARAJAN B.,INC,1994,,,,,,,,,,,
SALEM,Tamil Nadu, RANGARAJANM KUMARAMANGALAM,INC,1994,,,,,,,,,,,
SIVAGANGA,Tamil Nadu, CHINDAMBARAM P.,INC,1994,,,,,,,,,,,
SIVAKASI,Tamil Nadu, KANGA GOVINDARAJULU R.,ADK,1994,,,,,,,,,,,
SRIPERUMBUDUR (SC),Tamil Nadu, MARAGATHAM CHANDRASEKAR (W),INC,1994,,,,,,,,,,,
TENKASI (SC),Tamil Nadu, ARUNACHALAM M.,INC,1994,,,,,,,,,,,
THANJAVUR,Tamil Nadu, THULASIAH VANDAYAR K.,INC,1994,,,,,,,,,,,
TINDIVANAM,Tamil Nadu, RAMA MURTHEE K.,INC,1994,,,,,,,,,,,
TIRUCHENDUR,Tamil Nadu, DHANUSHKODI ATHINTHAN R.,INC,1994,,,,,,,,,,,
TIRUCHENGODE,Tamil Nadu, SOUNDARAM K.S. (W),ADK,1994,,,,,,,,,,,
TIRUCHIRAPPALLI,Tamil Nadu, L. ADAIKALA RAJ,INC,1994,,,,,,,,,,,
TIRUNELVELI,Tamil Nadu, JANARTHANAN M.R.,ADK,1994,,,,,,,,,,,
TIRUPPATTUR,Tamil Nadu, JAYA MOHAN A.,INC,1994,,,,,,,,,,,
VANDAVASI,Tamil Nadu, KRISHNASWAMY M.,INC,1994,,,,,,,,,,,
VELLORE,Tamil Nadu, AKBER PASHA B.,INC,1994,,,,,,,,,,,
AGRA,Uttar Pradesh, BHAGWAN SHANKER RAWAT,BJP,1994,,,,,,,,,,,
AKBARPUR (SC),Uttar Pradesh, RAM AWADH,JD,1994,,,,,,,,,,,
ALIGARH ,Uttar Pradesh,SHILA DEVI GAUTAM (W) ,BJP,1994,,,,,,,,,,,
ALLAHABAD,Uttar Pradesh, SAROJ DUBEY (W),JD,1994,,,,,,,,,,,
ALMORA,Uttar Pradesh, JEEWAN,BJP,1994,,,,,,,,,,,
AMETHI,Uttar Pradesh,C.S.K. SHARMA,INC,1994,,,,,,,,,,,
AMROHA,Uttar Pradesh, CHETAN CHAUHAN,BJP,1994,,,,,,,,,,,
AONLA,Uttar Pradesh, RAJVEER SINGH,BJP,1994,,,,,,,,,,,
AZAMGARH,Uttar Pradesh, CHANDRA JEET,JD,1994,,,,,,,,,,,
BAGHPAT,Uttar Pradesh, AJIT SINGH,JD,1994,,,,,,,,,,,
BAHRAICH ,Uttar Pradesh,RUDRASEN CHOUDHARY ,BJP,1994,,,,,,,,,,,
BALLIA,Uttar Pradesh, CHANDRA SHEKHAR,JP,1994,,,,,,,,,,,
BALRAMPUR,Uttar Pradesh, SATYA DEO SINGH,BJP,1994,,,,,,,,,,,
BANDA,Uttar Pradesh, PRAKASH NARAIN,BJP,1994,,,,,,,,,,,
BANSGAON (SC),Uttar Pradesh, RAJ NARAIYAN,BJP,1994,,,,,,,,,,,
BARA BANKI (SC) ,Uttar Pradesh,RAM SAGAR ,JP,1994,,,,,,,,,,,
BAREILLY,Uttar Pradesh, SANTOSH KUMAR GANGWAR,BJP,1994,,,,,,,,,,,
BASTI (SC),Uttar Pradesh, SHYAM LAL KAMAL,BJP,1994,,,,,,,,,,,
BIJNOR (SC),Uttar Pradesh, MANGAL RAM PREMI,BJP,1994,,,,,,,,,,,
BILHAUR,Uttar Pradesh, SHYAM BIHARI MISHRA,BJP,1994,,,,,,,,,,,
BUDAUN,Uttar Pradesh, CHINMAYA NAND,BJP,1994,,,,,,,,,,,
BULANDSHAHR,Uttar Pradesh, CHHATTERPAL,BJP,1994,,,,,,,,,,,
CHAIL,Uttar Pradesh, (SC) SHASHI PRAKASH,JD,1994,,,,,,,,,,,
CHANDAULI,Uttar Pradesh, ANAND RATAN MOURYA,BJP,1994,,,,,,,,,,,
DEORIA,Uttar Pradesh, MOHAN SINGH,JD,1994,,,,,,,,,,,
DOMARIAGANJ,Uttar Pradesh, RAMPAL SINGH,BJP,1994,,,,,,,,,,,
ETAH,Uttar Pradesh, MAHADEEPAK SINGH,BJP,1994,,,,,,,,,,,
ETAWAH,Uttar Pradesh, KANSHI RAM,BSP,1994,,,,,,,,,,,
FAIZABAD,Uttar Pradesh, VINAYA KATIYAR,BJP,1994,,,,,,,,,,,
FARRUKHABAD,Uttar Pradesh, SALMAN KHURSEED,INC,1994,,,,,,,,,,,
FATEHPUR,Uttar Pradesh, VISHWA NATH PRATAP SINGH,JD,1994,,,,,,,,,,,
FIROZABAD (SC),Uttar Pradesh, PRABHU DAYAL KATHERIA,BJP,1994,,,,,,,,,,,
GARHWAL,Uttar Pradesh, BHUWAN CHAND,BJP,1994,,,,,,,,,,,
GHATAMPUR (SC),Uttar Pradesh, KESHARI LAL,JD,1994,,,,,,,,,,,
GHAZIPUR,Uttar Pradesh, BISHVA NATH SHASTRI,CPI,1994,,,,,,,,,,,
GHOSI,Uttar Pradesh, KALP NATH,INC,1994,,,,,,,,,,,
GONDA,Uttar Pradesh, BRIJ BHUSAN SARAN SINGH,BJP,1994,,,,,,,,,,,
GORAKHPUR,Uttar Pradesh, AWAIDYA NATH,BJP,1994,,,,,,,,,,,
HAMIRPUR,Uttar Pradesh, VISHWANATH SHARMA,BJP,1994,,,,,,,,,,,
HAPUR,Uttar Pradesh, RAMESH CHANDRA TOMER,BJP,1994,,,,,,,,,,,
HARDOI (SC),Uttar Pradesh, JAI PRAKASH,BJP,1994,,,,,,,,,,,
HARDWAR (SC) ,Uttar Pradesh,RAM SINGH ,BJP,1994,,,,,,,,,,,
HATHRAS (SC),Uttar Pradesh, LAL BAHADUR RAWAL,BJP,1994,,,,,,,,,,,
JALAUN (SC),Uttar Pradesh, GAYA PRASAD KORI,BJP,1994,,,,,,,,,,,
JALESAR,Uttar Pradesh, SWAMY SURESHNAND,BJP,1994,,,,,,,,,,,
JAUNPUR,Uttar Pradesh, ARJUN SINGH YADAVA,JD,1994,,,,,,,,,,,
JHANSI,Uttar Pradesh, RAJENDRA AGNIHOTRI,BJP,1994,,,,,,,,,,,
KAIRANA,Uttar Pradesh, HARPAL,JD,1994,,,,,,,,,,,
KAISERGANJ,Uttar Pradesh, LAXMI NARAIN MANI TRIPATHI,BJP,1994,,,,,,,,,,,
KANNAUJ,Uttar Pradesh, CHHOTE SINGH YADAV,JP,1994,,,,,,,,,,,
KANPUR,Uttar Pradesh, JAGATVEER SINGH BRON,BJP,1994,,,,,,,,,,,
KHALILABAD,Uttar Pradesh, ASHT BHUJA PRASAD SHUKLA,BJP,1994,,,,,,,,,,,
KHERI,Uttar Pradesh, GENDAN LAL KANAUJIA,BJP,1994,,,,,,,,,,,
KHURJA (SC),Uttar Pradesh, ROSHAN,JD,1994,,,,,,,,,,,
LALGANJ (SC),Uttar Pradesh, RAM BADAN,JD,1994,,,,,,,,,,,
LUCKNOW,Uttar Pradesh, ATAL BEHARI BAJPAI,BJP,1994,,,,,,,,,,,
MACHHLISHAHR,Uttar Pradesh, SHEO SARAN VERMA,JD,1994,,,,,,,,,,,
MAHARAJGANJ,Uttar Pradesh, PANKAJ CHOUDHARI,BJP,1994,,,,,,,,,,,
MAINPURI,Uttar Pradesh, UDAI PRATAP SINGH,JP,1994,,,,,,,,,,,
MATHURA,Uttar Pradesh, SWAMI SAKSHI JI,BJP,1994,,,,,,,,,,,
MIRZAPUR,Uttar Pradesh, BIRENDRA,BJP,1994,,,,,,,,,,,
MISRIKH (SC),Uttar Pradesh, RAM LAL RAHI,INC,1994,,,,,,,,,,,
MOHANLALGANJ (SC),Uttar Pradesh, CHHOTEY LAL,BJP,1994,,,,,,,,,,,
MORADABAD,Uttar Pradesh, GULAM MOHAMMED KHAN,JD,1994,,,,,,,,,,,
MUZAFFARNAGAR,Uttar Pradesh, NARESH KUMAR BALIYAN,BJP,1994,,,,,,,,,,,
NAINITAL,Uttar Pradesh, BALRAJ PASI,BJP,1994,,,,,,,,,,,
PADRAUNA,Uttar Pradesh, RAMNAGINA MISHRA,BJP,1994,,,,,,,,,,,
PHULPUR,Uttar Pradesh, RAM PUJAN PATEL,JD,1994,,,,,,,,,,,
PILIBHIT,Uttar Pradesh, PARASHURAM,BJP,1994,,,,,,,,,,,
PRATAPGARH,Uttar Pradesh, ABHAI PRATAP SINGH,JD,1994,,,,,,,,,,,
RAE BARELI,Uttar Pradesh, SHEILA KAUL (W),INC,1994,,,,,,,,,,,
RAMPUR,Uttar Pradesh, RAJENDRA KUMAR SHARMA,BJP,1994,,,,,,,,,,,
ROBERTSGANJ (SC),Uttar Pradesh, RAM NIHORE,JD,1994,,,,,,,,,,,
SAHARANPUR,Uttar Pradesh, RASHED MASOOD,JD,1994,,,,,,,,,,,
SAIDPUR (SC),Uttar Pradesh, RAJNATH SONKAR SHASTRI,JD,1994,,,,,,,,,,,
SALEMPUR,Uttar Pradesh, HARIKEWAL,JD,1994,,,,,,,,,,,
SAMBHAL,Uttar Pradesh, SRI PAL SINGH,JD,1994,,,,,,,,,,,
SHAHABAD,Uttar Pradesh, SURENDRA PAL PATHAK,BJP,1994,,,,,,,,,,,
SHAHJAHANPUR,Uttar Pradesh, SATYA PAL SINGH YADAV (SIWARA),JD,1994,,,,,,,,,,,
SITAPUR,Uttar Pradesh, JANARDAN PRASAD MISRA,BJP,1994,,,,,,,,,,,
SULTANPUR,Uttar Pradesh, VISHWANATH DASS SHASTRI,BJP,1994,,,,,,,,,,,
TEHRI GARHWAL ,Uttar Pradesh,MANBENDRA SHAH ,BJP,1994,,,,,,,,,,,
UNNAO,Uttar Pradesh, DEVI BUX SINGH,BJP,1994,,,,,,,,,,,
VARANASI,Uttar Pradesh, SHEESH CHANDRA DIXIT,BJP,1994,,,,,,,,,,,
MEERUT,Uttar Pradesh,AMAR PAL SINGH,BJP,1994,,,,,,,,,,,
ALIPURDUARS (ST) ,West Bengal,PIUS TIRKEY ,RSP,1994,,,,,,,,,,,
ARAMBAGH ,West Bengal,ANIL BASU ,CPM,1994,,,,,,,,,,,
ASANSOL,West Bengal, HARADHAN ROY,CPM,1994,,,,,,,,,,,
BALURGHAT (SC),West Bengal, PALAS BARMAN,RSP,1994,,,,,,,,,,,
BANKURA ,West Bengal,BASUDEV ACHARIA ,CPM,1994,,,,,,,,,,,
BARASAT,West Bengal, CHITTA BASU,FBL,1994,,,,,,,,,,,
BARRACKPORE,West Bengal, TARIT BARBAN TOPDAR,CPM,1994,,,,,,,,,,,
BASIRHAT ,West Bengal,MONORANJAN SUR ,CPI,1994,,,,,,,,,,,
BERHAMPORE ,West Bengal,NANI BHATACHARYYA ,RSP,1994,,,,,,,,,,,
BIRBHUM (SC) ,West Bengal,DOME RAMCHANDRA ,CPM,1994,,,,,,,,,,,
BOLPUR,West Bengal, CHATTERJEE SOMNATH,CPM,1994,,,,,,,,,,,
BURDWAN,West Bengal, SUDHIR RAY,CPM,1994,,,,,,,,,,,
CALCUTTA NORTH EAST ,West Bengal,AJIT KUMAR PANJA ,INC,1994,,,,,,,,,,,
CALCUTTA NORTH WEST ,West Bengal,DEBI PROSAD PAL ,INC,1994,,,,,,,,,,,
CALCUTTA SOUTH,West Bengal, MAMATA BANERJEE (W),INC,1994,,,,,,,,,,,
CONTAI,West Bengal, SUDHIR GIRI,CPM,1994,,,,,,,,,,,
COOCH BEHAR (SC) ,West Bengal,AMAR ROY PRADHAN ,FBL,1994,,,,,,,,,,,
DARJEELING,West Bengal, INDER JEET,INC,1994,,,,,,,,,,,
DIAMOND HARBOUR,West Bengal, AMAL DUTTA,CPM,1994,,,,,,,,,,,
DUM DUM,West Bengal, NIRMAL KANTI CHATTERJEE,CPM,1994,,,,,,,,,,,
DURGAPUR (SC),West Bengal, PURNA CHANDRA MALIK,CPM,1994,,,,,,,,,,,
HOOGHLY,West Bengal, RUPCHAND PAL,CPM,1994,,,,,,,,,,,
HOWRAH,West Bengal, SUSANTA CHAKRABORTY S/O SUDHIR,CPM,1994,,,,,,,,,,,
JADAVPUR,West Bengal, MALINI BHATTACHARYA (W),CPM,1994,,,,,,,,,,,
JALPAIGURI,West Bengal, JITENDRA NATH DAS,CPM,1994,,,,,,,,,,,
JANGIPUR,West Bengal, ABEDIN ZAINAL,CPM,1994,,,,,,,,,,,
JHARGRAM (ST),West Bengal, RUPCHAND MURMU,CPM,1994,,,,,,,,,,,
JOYNAGAR (SC),West Bengal, SANAT KUMAR MANDAL,RSP,1994,,,,,,,,,,,
KATWA,West Bengal, SAIFUDDIN CHOWDHRY,CPM,1994,,,,,,,,,,,
KRISHNAGAR,West Bengal, AJOY MUKHOPADHYAY,CPM,1994,,,,,,,,,,,
MALDA,West Bengal, ABDUL BARKAT ATAUL GHANI KHAN CHOUDHARY,INC,1994,,,,,,,,,,,
MATHURAPUR (SC),West Bengal, RADHIKA RANJAN PRAMANICK,CPM,1994,,,,,,,,,,,
MIDNAPORE,West Bengal, INDRAJIT GUPTA,CPI,1994,,,,,,,,,,,
MURSHIDABAD,West Bengal, MASUDAL HOSSAIN SYED,CPM,1994,,,,,,,,,,,
NABADWIP (SC),West Bengal, ASIM BALA,CPM,1994,,,,,,,,,,,
PANSKURA,West Bengal, GITA MUKHERJEE (W),CPI,1994,,,,,,,,,,,
PURULIA,West Bengal,B. MAHATO,FBL,1994,,,,,,,,,,,
RAIGANJ,West Bengal, SYBARTA MUKERJEE,CPM,1994,,,,,,,,,,,
SERAMPORE,West Bengal, SUDARSAN ROY CHOWDHURY,CPM,1994,,,,,,,,,,,
TAMLUK,West Bengal, SATYAGOPAL MISRA,CPM,1994,,,,,,,,,,,
ULUBERIA,West Bengal, HANNAN MOLLAH,CPM,1994,,,,,,,,,,,
VISHNUPUR (SC),West Bengal, SUKHENDU KHAN,CPM,1994,,,,,,,,,,,
ADILABAD,Andhra, ALLOLA INDRAKARAN REDDY,TDP,1995,,,,,,,,,,,
AMALAPURAM (SC),Andhra, BALAYOGI G.M.C.,TDP,1995,,,,,,,,,,,
ANAKAPALLI,Andhra, KONATHALA RAMAKRISHNA,INC,1995,,,,,,,,,,,
ANANTAPUR,Andhra, ANANTHA VENKATA REDDY,INC,1995,,,,,,,,,,,
BAPATLA,Andhra, VENKATESWARA RAO DAGGUBATI,TDP,1995,,,,,,,,,,,
BHADRACHALAM (ST),Andhra, KARREDDULA KAMALAKUMARI (W),INC,1995,,,,,,,,,,,
BOBBILI,Andhra, ANANDA GAJAPATHI RAJU POOSAPATHI,INC,1995,,,,,,,,,,,
CHITTOOR,Andhra, M. GNANENDRA REDDY,INC,1995,,,,,,,,,,,
CUDDAPAH,Andhra, Y.S. RAJASEKHAR REDDY,INC,1995,,,,,,,,,,,
ELURU,Andhra, BOLLA BULLIRAMAIAH,TDP,1995,,,,,,,,,,,
GUNTUR,Andhra, LAL JAN BASHA S.M.,TDP,1995,,,,,,,,,,,
HANAMKONDA,Andhra, KAMALUDDIN AHMED,INC,1995,,,,,,,,,,,
HINDUPUR,Andhra, S. GANGADHARA,INC,1995,,,,,,,,,,,
HYDERABAD,Andhra, SULTAN SALAHUDDIN OWAISI,MIM,1995,,,,,,,,,,,
KAKINADA,Andhra, THOTA SUBBARAO,TDP,1995,,,,,,,,,,,
KARIMNAGAR,Andhra, CHOKKA RAO JUVVADI,INC,1995,,,,,,,,,,,
KHAMMAM,Andhra, RANGAYYA NAYUDU P.V.,INC,1995,,,,,,,,,,,
KURNOOL,Andhra,K.J.S. PRAKASH REDDY,INC,1995,,,,,,,,,,,
MACHILIPATNAM,Andhra, K.P. REDDAIAH,TDP,1995,,,,,,,,,,,
MAHABUBNAGAR,Andhra, MALLIKARJUN,INC,1995,,,,,,,,,,,
MEDAK,Andhra, N. BAGA REDDY,INC,1995,,,,,,,,,,,
MIRYALGUDA ,Andhra,BHEEMIREDDY NARSIMHA REDDY ,CPM,1995,,,,,,,,,,,
NAGARKURNOOL (SC),Andhra, MALLU RAVI,INC,1995,,,,,,,,,,,
NALGONDA,Andhra, BOMMAGANI DHARMA BIKSHAM,CPI,1995,,,,,,,,,,,
NANDYAL,Andhra,P. V. N. Rao,INC,1995,,,,,,,,,,,
NARASAPUR,Andhra, VIJAYAKUMAR RAJU BHUPATHIRAJU,TDP,1995,,,,,,,,,,,
NARASARAOPET,Andhra, KASU VENKATA KRISHNA REDDY,INC,1995,,,,,,,,,,,
NELLORE (SC),Andhra, KUDUMULA PADMASRE (W),INC,1995,,,,,,,,,,,
NIZAMABAD,Andhra, GADDAM GANGA REDDY,TDP,1995,,,,,,,,,,,
